="",="BI Score",="HOR Score"
="HOR Score",="0.316***",=""
="Eyes Test Score",="0.116***",="0.161***"
="Tertiary education",="0.0130",="0.0640***"
="IST score",="0.230***",="0.213***"
="Financial Planning Horizon",="0.0288",="0.0362*"
="Risk tolerance",="0.00526",="0.0257"
="Self-efficacy ",="0.0395*",="0.0551**"
="Personal Optimism ",="0.0770***",="0.123***"
="Note: * denotes significance at 0.10; ** at 0.05; *** at 0.01."
="* p<0.10, ** p<0.05, *** p<0.01"
